model_name,num_children,has_parent,is_in_records,license,author
- Qwen/Qwen2.5-Coder-3B-Instruct,4,False,False,,
- Qwen/Qwen2.5-Coder-1.5B-Instruct,4,False,False,,
- Qwen/Qwen2.5-1.5B,4,False,False,,
- Qwen/Qwen2-VL-2B-Instruct,4,False,False,,
- Qwen/Qwen2-7B-Instruct,4,False,False,,
- OpenLLM-France/Lucie-7B,4,False,False,,
- OpenGVLab/InternVL2-8B,4,False,False,,
- EleutherAI/gpt-j-6b,4,False,False,,
OpenBuddy/openbuddy-llama3.2-3b-v23.2-131k,4,False,True,llama3.2,
- infly/OpenCoder-8B-Instruct,4,False,False,,
- OpenGVLab/InternViT-6B-448px-V1-5,4,False,False,,
- mistralai/Mistral-7B-Instruct-v0.3,4,False,False,,
HuggingFaceTB/SmolLM2-1.7B-Instruct,4,False,False,,
OpenBuddy/openbuddy-llama3.1-8b-v22.2-131k,4,False,True,other,
- nvidia/OpenCodeReasoning-Nemotron-1.1-32B,4,False,False,,
OpenBuddy/openbuddy-llama3-70b-v21.2-32k,4,False,True,other,
OpenBuddy/openbuddy-llama2-13b-v11.1-bf16,4,False,True,,
OpenAssistant/llama2-13b-orca-8k-3319,4,False,True,other,
NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v2,4,False,True,apache-2.0,
Locutusque/OpenCerebrum-2.0-7B,4,False,True,apache-2.0,
Locutusque/OpenCerebrum-1.0-7b-DPO,4,False,True,apache-2.0,
KRAFTON/OpenThinker2-Offline-GRPO-7B,4,False,True,apache-2.0,
OpenBuddy/openbuddy-llama2-70b-v10.1-bf16,4,False,True,,
Grogros/gpt2-kgw-k1-delta2.0-logitDistill,4,False,False,,
- stabilityai/stable-diffusion-xl-base-1.0,4,False,False,,
Fredithefish/OpenZephyrChat-v0.2,4,False,False,,
Darkknight535/OpenCrystal-15B-L3-v3,4,False,True,,
Darkknight535/OpenCrystal-15B-L3-v2,4,False,True,,
Darkknight535/OpenCrystal-12B-L3,4,False,True,,
- nvidia/OpenMath2-Llama3.1-8B,4,False,False,,
- tiiuae/falcon-7b-instruct,4,False,False,,
Grogros/gpt2-kgw-k1-delta2.0-Scratch,4,False,False,,
Qwen/Qwen3-8B,3,False,False,,
THUDM/glm-4-9b-chat,3,False,False,,
VIDraft/Gemma-3-R1984-27B,3,False,False,,
VMware/open-llama-13b-open-instruct,3,False,True,cc-by-sa-3.0,
ajibawa-2023/OpenHermes-2.5-Code-290k-13B,3,False,True,apache-2.0,
alpindale/Mistral-7B-v0.2,3,False,False,,
artificialguybr/Gemma2-2B-OpenHermes2.5,3,False,True,apache-2.0,
distilbert/distilgpt2,3,False,False,,
bert-base-uncased,3,False,False,,
codellama/CodeLlama-13b-hf,3,False,False,,
