child_model,base_model
openpecha/Finetuned_Alibaba_Large,Alibaba-NLP/gte-large-en-v1.5
ChoHJ/Llama-3-Open-Ko-8B-Instruct-Test-Zem,beomi/Llama-3-Open-Ko-8B-Instruct-preview
EmbeddedLLM/openchat-3.6-8b-20240522-onnx,meta-llama/Meta-Llama-3-8B
swjeon/tmp-codellama-7b-openapi-completion-ctx-lvl-fim-05-spm-2048,codellama/CodeLlama-7b-hf
usagent100/openllama-test1,openlm-research/open_llama_3b_v2
Magpie-Align/Llama-3-8B-OpenHermes-2.5-1M,meta-llama/Meta-Llama-3-8B
SatvikG7/OpenNep-1,google/gemma-1.1-2b-it
Yong-Sik/Llama-3-Open-Ko-8B-Instruct-teddynote,beomi/Llama-3-Open-Ko-8B-Instruct-preview
nghodki/opencve,meta-llama/Meta-Llama-3-8B
hchcsuim/batch-size16_FFPP-c23_opencv-1FPS_faces-expand50-aligned_unaugmentation,microsoft/swin-tiny-patch4-window7-224
Cas-Warehouse/Llama-3-aaditya-OpenBioLLM-Blackroot-8B,- grimjim/llama-3-aaditya-OpenBioLLM-8B
Cas-Warehouse/Llama-3-SOVL-aaditya-OpenBioLLM-8B,- grimjim/llama-3-aaditya-OpenBioLLM-8B
hchcsuim/batch-size16_FFPP-c23_opencv-1FPS_faces-expand40-aligned_unaugmentation,microsoft/swin-tiny-patch4-window7-224
kannn044/openthaigpt-test,openthaigpt/openthaigpt-1.0.0-7b-chat
Felladrin/mlc-q4f16-TinyLlama-1.1B-1T-OpenOrca,jeff31415/TinyLlama-1.1B-1T-OpenOrca
hchcsuim/batch-size16_FFPP-c23_opencv-1FPS_faces-expand30-aligned_unaugmentation,microsoft/swin-tiny-patch4-window7-224
hchcsuim/batch-size16_FFPP-c23_opencv-1FPS_faces-expand20-aligned_unaugmentation,microsoft/swin-tiny-patch4-window7-224
ChoHJ/Llama-3-Open-Ko-8B-Instruct-Test-V5,unsloth/llama-3-8b
ChoHJ/Llama-3-Open-Ko-8B-Instruct-Test-V4,unsloth/llama-3-8b
mradermacher/openbuddy-llama3-70b-v21.2-32k-GGUF,OpenBuddy/openbuddy-llama3-70b-v21.2-32k
KYUNGHYUN9/Llama-3-Open-Ko-8B-Itos-Test-gguf,unsloth/llama-3-8b
KYUNGHYUN9/Llama-3-Open-Ko-8B-Itos-Test,unsloth/llama-3-8b
magiccpp/open_llama_3b_v2-Q8_0-GGUF,openlm-research/open_llama_3b_v2
Magpie-Align/Llama-3-8B-OpenHermes-243K,meta-llama/Meta-Llama-3-8B
hchcsuim/batch-size16_FFPP-c23_opencv-1FPS_unaugmentation,microsoft/swin-tiny-patch4-window7-224
cs552-mlp/phi3-lora-openbookqa3,microsoft/Phi-3-mini-4k-instruct
cs552-mlp/phi3-lora-openbookqa,microsoft/Phi-3-mini-4k-instruct
KYUNGHYUN9/Llama-3-Open-Ko-8B-Instruct-teddynote-gguf,unsloth/llama-3-8b
KYUNGHYUN9/Llama-3-Open-Ko-8B-Instruct-teddynote,unsloth/llama-3-8b
kyryl-opens-ml/doplhin-dpo-1-epoch,cognitivecomputations/dolphin-2.1-mistral-7b
kyryl-opens-ml/doplhin-dpo,cognitivecomputations/dolphin-2.1-mistral-7b
haidermasood99/openhermes-mistral-dpo-gptq,TheBloke/OpenHermes-2-Mistral-7B-GPTQ
cs552-mlp/phi3-openbookqa,unsloth/Phi-3-mini-4k-instruct-bnb-4bit
vicky4s4s/openchat-8b,meta-llama/Meta-Llama-3-8B
mradermacher/OpenKunoichi-7B-slerp-GGUF,adastra9257/OpenKunoichi-7B-slerp
mradermacher/openchat-3.5-0106-GGUF,openchat/openchat-3.5-0106
darshit0503/openorca_law_acts_7b_chat_uncensored_FT_GGUF,Open-Orca/Mistral-7B-OpenOrca
mradermacher/openbuddy-yi1.5-34b-v21.3-32k-GGUF,OpenBuddy/openbuddy-yi1.5-34b-v21.3-32k
amaithi/qlora-openlm_llama-3b-fine,openlm-research/open_llama_3b_v2
uirev/MLX_OpenELM_1.1b_UiRev_finetuned_V3,apple/OpenELM-1_1B-Instruct
uirev/MLX_OpenELM_1.1b_UiRev_finetuned_V2,apple/OpenELM-1_1B-Instruct
19Leo97/openhermes-mistral-dpo-gptq,TheBloke/OpenHermes-2-Mistral-7B-GPTQ
nztinversive/phi3_model_openassistant,unsloth/Phi-3-mini-4k-instruct-bnb-4bit
aidiary/open-calm-small-finetuned-databricks-dolly-15k-ja,cyberagent/open-calm-small
aidiary/open-calm-small-negative,cyberagent/open-calm-small
aidiary/open-calm-small-positive,cyberagent/open-calm-small
SEHYONG/Llama-3-Open-Ko-8B-Instruct-kookmin7-gguf,SEHYONG/Llama-3-Open-Ko-8B-Instruct-kookmin6
SEHYONG/Llama-3-Open-Ko-8B-Instruct-kookmin7,SEHYONG/Llama-3-Open-Ko-8B-Instruct-kookmin6
mradermacher/llama-3-70B-openbio-dareties-GGUF,toantam1290/llama-3-70B-openbio-dareties
mradermacher/openbuddy-yi1.5-34b-v21.2-32k-GGUF,OpenBuddy/openbuddy-yi1.5-34b-v21.2-32k
SEHYONG/Llama-3-Open-Ko-8B-Instruct-kookmin6-gguf,SEHYONG/Llama-3-Open-Ko-8B-Instruct-kookmin5
SEHYONG/Llama-3-Open-Ko-8B-Instruct-kookmin6,SEHYONG/Llama-3-Open-Ko-8B-Instruct-kookmin5
mradermacher/llama-3-taide-openbio-GGUF,toantam1290/llama-3-taide-openbio
SEHYONG/Llama-3-Open-Ko-8B-Instruct-kookmin5-gguf,sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin3
SEHYONG/Llama-3-Open-Ko-8B-Instruct-kookmin5,sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin3
toantam1290/llama-3-taide-openbio,- taide/Llama3-TAIDE-LX-8B-Chat-Alpha1
SEHYONG/Llama-3-Open-Ko-8B-Instruct-kookmin4-gguf,sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin3
SEHYONG/Llama-3-Open-Ko-8B-Instruct-kookmin4,sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin3
SEHYONG/Llama-3-Open-Ko-8B-Instruct-kookmin3-gguf,sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin3
SEHYONG/Llama-3-Open-Ko-8B-Instruct-kookmin3,sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin3
SEHYONG/Llama-3-Open-Ko-8B-Instruct-kookmin2-gguf,sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin3
SEHYONG/Llama-3-Open-Ko-8B-Instruct-kookmin2,sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin3
gswap/openhermes-mistral-dpo-gptq,TheBloke/OpenHermes-2-Mistral-7B-GPTQ
SEHYONG/Llama-3-Open-Ko-8B-Instruct-kookmin-gguf,sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin5
SEHYONG/Llama-3-Open-Ko-8B-Instruct-kookmin,sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin5
sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin7-gguf,sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin5
sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin7,sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin5
BohdanPetryshyn/tmp-codellama-7b-openapi-completion-ctx-lvl-fim-05-spm-2048,codellama/CodeLlama-7b-hf
Sanjaytfg/openhathi_instruct,sarvamai/OpenHathi-7B-Hi-v0.1-Base
sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin6-gguf,sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin5
sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin6,sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin5
sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin5-gguf,sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin3
sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin5,sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin3
ghemdd/OpenELM-450M_lora,apple/OpenELM-450M
aanosov/openchat36_lora-3800-3005,openchat/openchat-3.6-8b-20240522
Johnyquest7/Llama3-OpenBioLLM-8B-Q4_K_M-GGUF,aaditya/Llama3-OpenBioLLM-8B
CISCai/gorilla-openfunctions-v2-SOTA-GGUF,gorilla-llm/gorilla-openfunctions-v2
Teddy487/LLaMA2-7b-for-OpenIE,meta-llama/Llama-2-7b-chat-hf
Teddy487/LLaMA3-8b-for-OpenIE,meta-llama/Meta-Llama-3-8B-Instruct
thesven/openchat-3.6-8b-20240522-GGUF,meta-llama/Meta-Llama-3-8B
DokHee/openBio-8b-VBioLLM-gguf,aaditya/OpenBioLLM-Llama3-8B
DokHee/Llama-3-Open-Ko-8B-Instruct-VBiom-V1-gguf,beomi/Llama-3-Open-Ko-8B
mradermacher/REBEL-OpenChat-3.5-GGUF,Cornell-AGI/REBEL-OpenChat-3.5
grimjim/llama-3-aaditya-OpenBioLLM-8B,meta-llama/Meta-Llama-3-8B
qwp4w3hyb/openchat-3.6-8b-20240522-iMat-GGUF,openchat/openchat-3.6-8b-20240522
nhyha/Llama-3-Open-Ko-8B-Instruct_nhyha-gguf,beomi/Llama-3-Open-Ko-8B
LiteLLMs/Llama3-OpenBioLLM-70B-GGUF,meta-llama/Meta-Llama-3-70B-Instruct
DokHee/Llama-3-Open-Ko-8B-Instruct-alphaEdu100V3-gguf,beomi/Llama-3-Open-Ko-8B
LiteLLMs/openchat-3.6-8b-20240522-GGUF,meta-llama/Meta-Llama-3-8B
tvlife/Llama-3-Open-Ko-8B-Instruct-tvlife,beomi/Llama-3-Open-Ko-8B
DokHee/Llama-3-Open-Ko-8B-Instruct-alphaEdu100-gguf,beomi/Llama-3-Open-Ko-8B
openchat/openchat-3.6-8b-20240522,meta-llama/Meta-Llama-3-8B
sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin3-gguf,sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin2
sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin3,sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin2
sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin2,beomi/Llama-3-Open-Ko-8B
sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin2-gguf,beomi/Llama-3-Open-Ko-8B
DokHee/Llama-3-Open-Ko-8B-Instruct-alphaEdu-gguf,beomi/Llama-3-Open-Ko-8B
sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin-gguf,beomi/Llama-3-Open-Ko-8B
sungjineeee/Llama-3-Open-Ko-8B-Instruct-kookmin,beomi/Llama-3-Open-Ko-8B
legraphista/openchat-3.6-8b-20240522-IMat-GGUF,openchat/openchat-3.6-8b-20240522
vaclavkosar/openchat-3.6-8b-20240522-AWQ,meta-llama/Meta-Llama-3-8B
Zoyd/openchat_openchat-3.6-8b-20240522-5_0bpw_exl2,meta-llama/Meta-Llama-3-8B
Zoyd/openchat_openchat-3.6-8b-20240522-3_5bpw_exl2,meta-llama/Meta-Llama-3-8B
Zoyd/openchat_openchat-3.6-8b-20240522-6_5bpw_exl2,meta-llama/Meta-Llama-3-8B
Zoyd/openchat_openchat-3.6-8b-20240522-4_0bpw_exl2,meta-llama/Meta-Llama-3-8B
Zoyd/openchat_openchat-3.6-8b-20240522-2_5bpw_exl2,meta-llama/Meta-Llama-3-8B
Zoyd/openchat_openchat-3.6-8b-20240522-8_0bpw_exl2,meta-llama/Meta-Llama-3-8B
Zoyd/openchat_openchat-3.6-8b-20240522-6_0bpw_exl2,meta-llama/Meta-Llama-3-8B
Zoyd/openchat_openchat-3.6-8b-20240522-4_25bpw_exl2,meta-llama/Meta-Llama-3-8B
Zoyd/openchat_openchat-3.6-8b-20240522-3_75bpw_exl2,meta-llama/Meta-Llama-3-8B
Zoyd/openchat_openchat-3.6-8b-20240522-3_0bpw_exl2,meta-llama/Meta-Llama-3-8B
Zoyd/openchat_openchat-3.6-8b-20240522-2_2bpw_exl2,meta-llama/Meta-Llama-3-8B
QuantFactory/openchat-3.6-8b-20240522-GGUF,openchat/openchat-3.6-8b-20240522
MoMonir/openchat-3.6-8b-20240522-GGUF,meta-llama/Meta-Llama-3-8B
lmstudio-community/openchat-3.6-8b-20240522-GGUF,openchat/openchat-3.6-8b-20240522
bartowski/openchat-3.6-8b-20240522-exl2,meta-llama/Meta-Llama-3-8B
fakezeta/openchat-3.6-8b-20240522-ov-int8,meta-llama/Meta-Llama-3-8B
bartowski/openchat-3.6-8b-20240522-GGUF,meta-llama/Meta-Llama-3-8B
thesven/openchat-3.6-8b-20240522-GPTQ,meta-llama/Meta-Llama-3-8B
YorkieOH10/openchat-3.6-8b-20240522-Q8_0-GGUF,meta-llama/Meta-Llama-3-8B
NikolayKozloff/openchat-3.6-8b-20240522-Q8_0-GGUF,meta-llama/Meta-Llama-3-8B
mlx-community/openchat-3.6-8b-20240522-8bit,meta-llama/Meta-Llama-3-8B
mlx-community/openchat-3.6-8b-20240522-4bit,meta-llama/Meta-Llama-3-8B
mlx-community/openchat-3.6-8b-20240522-2bit,meta-llama/Meta-Llama-3-8B
johnwee1/openhermes-2.5-neuralchat-ties,- mistralai/Mistral-7B-v0.1
sanxialiuzhan/llama3-lora-openIE,meta-llama/Meta-Llama-3-8B-Instruct
mradermacher/openbuddy-yi1.5-9b-v21.1-32k-GGUF,OpenBuddy/openbuddy-yi1.5-9b-v21.1-32k
Ritvik19/openhermes-danube2-sft-qlora,h2oai/h2o-danube2-1.8b-base
Felladrin/gguf-sharded-openhermes-tinyllama-sft-qlora,Ritvik19/openhermes-tinyllama-sft-qlora
Felladrin/gguf-openhermes-tinyllama-sft-qlora,Ritvik19/openhermes-tinyllama-sft-qlora
moetezsa/OpenHermes_numericnlg,unsloth/OpenHermes-2.5-Mistral-7B-bnb-4bit
moetezsa/OpenHermes_charttotext,unsloth/OpenHermes-2.5-Mistral-7B-bnb-4bit
moetezsa/OpenHermes_wikitable,unsloth/OpenHermes-2.5-Mistral-7B-bnb-4bit
transcenderningning/Llama3-OpenBioLLM-8B,meta-llama/Meta-Llama-3-8B
werty1248/Llama-3-Ko-8B-OpenOrca,beomi/Llama-3-Open-Ko-8B
lighteternal/Llama-3-8B-Instruct-MergeSLERP-Gradient1048k-OpenBioLLM,- gradientai/Llama-3-8B-Instruct-Gradient-1048k
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-05-spm-5120,codellama/CodeLlama-7b-hf
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-05-spm-doc-split-1-08-12,codellama/CodeLlama-7b-hf
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-05-spm-2048,codellama/CodeLlama-7b-hf
Felladrin/gguf-sharded-openhermes-1b-olmo-sft-qlora,Ritvik19/openhermes-1b-olmo-sft-qlora
Felladrin/gguf-openhermes-1b-olmo-sft-qlora,Ritvik19/openhermes-1b-olmo-sft-qlora
openchat/openchat-3.5-0106,mistralai/Mistral-7B-v0.1
openchat/openchat-3.5-1210,mistralai/Mistral-7B-v0.1
richie-ghost/unsloth_openHermes_f16,teknium/OpenHermes-2.5-Mistral-7B
OpenPipe/Hermes-2-Theta-Llama-3-8B-32k,NousResearch/Hermes-2-Pro-Llama-3-8B
XueyingJia/llama3_4_bit_mnli_openai_3_shots_generated_data_openai,unsloth/llama-3-8b-bnb-4bit
XueyingJia/llama3_mnli_openai_0_shot_generated_data_openai,meta-llama/Meta-Llama-3-8B
XueyingJia/llama3_4_bit_mnli_0_shot_transformed_data_score_use_full_row_dataset_openai,unsloth/llama-3-8b-bnb-4bit
OpenPipe/Hermes-2-Pro-Llama-3-8B-32k,NousResearch/Meta-Llama-3-8B
XueyingJia/llama3_mnli_0_shot_transformed_data_score_use_full_row_dataset_openai,meta-llama/Meta-Llama-3-8B
XueyingJia/llama3_mnli_openai_3_shots_generated_data_openai,meta-llama/Meta-Llama-3-8B
XueyingJia/llama3_4_bit_mnli_openai_3_shots,unsloth/llama-3-8b-bnb-4bit
XueyingJia/llama3_mnli_openai_3_shots,meta-llama/Meta-Llama-3-8B
RedHatAI/Llama-2-7b-dolphin-open_platypus-pruned_70-quantized-deepsparse,neuralmagic/Llama-2-7b-pruned70-retrained-instruct
RedHatAI/Llama-2-7b-dolphin-open_platypus-pruned_50-quantized-deepsparse,neuralmagic/Llama-2-7b-pruned50-retrained-instruct
aliencaocao/gorilla-openfunctions-v2-TIL24-r16-a16-ctx768-v2,gorilla-llm/gorilla-openfunctions-v2
NikolayKozloff/Llama-2-7b-dolphin-open_platypus-Q8_0-GGUF,meta-llama/Llama-2-7b-hf
RedHatAI/Llama-2-7b-dolphin-open_platypus-pruned_70,neuralmagic/Llama-2-7b-pruned70-retrained
RedHatAI/Llama-2-7b-dolphin-open_platypus,meta-llama/Llama-2-7b-hf
RedHatAI/Llama-2-7b-dolphin-open_platypus-pruned_50,neuralmagic/Llama-2-7b-pruned50-retrained
Felladrin/gguf-sharded-Mistral-7B-OpenOrca,Open-Orca/Mistral-7B-OpenOrca
darshit0503/openorca_constitution_7b_chat_uncensored_FT_GGUF,Open-Orca/Mistral-7B-OpenOrca
Andrei481/llama-3-8b-instruct-unsloth-open-instruct-ro-16b,unsloth/llama-3-8b-Instruct-bnb-4bit
Andrei481/llama-3-8b-unsloth-corpus-open-instruct-ro-16b,Andrei481/llama3-8b-corpus-ro-8k-16b
MuntasirHossain/Llama-3-8B-OpenOrca-peft-adapter,meta-llama/Meta-Llama-3-8B
OpenAlex/bert-base-multilingual-cased-finetuned-openalex-topic-classification-title-abstract,bert-base-multilingual-cased
Fatima122/Open_AI_2,distilbert-base-uncased
Fatima122/Open_AI,distilbert-base-uncased
darshit0503/openorca_7b_chat_uncensored_FT_GGUF,Open-Orca/Mistral-7B-OpenOrca
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-no-spm-doc-split-1-08-12,codellama/CodeLlama-7b-hf
compressa-ai/openchat-3.5-0106-medchat-LoRA,openchat/openchat-3.5-0106
compressa-ai/openchat-3.5-0106-GPTQ-medchat-LoRA,openchat/openchat-3.5-0106-GPTQ
Ritvik19/openhermes-2b-gemma-sft-qlora,google/gemma-2b
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-05-spm,codellama/CodeLlama-7b-hf
Felladrin/gguf-sharded-TinyLlama-1.1B-1T-OpenOrca,jeff31415/TinyLlama-1.1B-1T-OpenOrca
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-no-spm-inf-seq-5120-r-64,codellama/CodeLlama-7b-hf
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-no-spm-inf-seq-4096,codellama/CodeLlama-7b-hf
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-no-spm-5120,codellama/CodeLlama-7b-hf
Ritvik19/openhermes-danube-sft-qlora,h2oai/h2o-danube-1.8b-base
CarrotAI/OpenCarrot-llama3-Mix-8B,- maywell/Llama-3-Ko-8B-Instruct
fakezeta/Llama3-OpenBioLLM-8B-ov-int8,meta-llama/Meta-Llama-3-8B
moetezsa/OpenChat_on_charttotext,openchat/openchat_3.5
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-no-spm-inf-seq-a-32,codellama/CodeLlama-7b-hf
moetezsa/OpenChat_on_scigen,openchat/openchat_3.5
Ritvik19/openhermes-phi-1_5-sft-qlora,microsoft/phi-1_5
ariel-ml/OpenHermes-2.5-Mistral-7B-hun-GGUF,teknium/OpenHermes-2.5-Mistral-7B
moetezsa/OpenHermes_finetued_on_wikibio,teknium/OpenHermes-2.5-Mistral-7B
Ritvik19/openhermes-1b-olmo-sft-qlora,allenai/OLMo-1B-hf
medmac01/openhermes-7b-glaive-v0.1,unsloth/OpenHermes-2.5-Mistral-7B-bnb-4bit
mradermacher/OpenCarrot-llama3-Mix-8B-GGUF,CarrotAI/OpenCarrot-llama3-Mix-8B
OnlyCheeini/out_OpenELM-450M_LR-5e-05_OA_4d37abbc-1ea9-491c-ae33-ad37ffb78ae1,apple/OpenELM-450M
OnlyCheeini/out_OpenELM-450M_LR-5e-05_OA_3f7dd301-ab4c-48cf-8684-d6e4869ea33f,apple/OpenELM-450M
Ritvik19/openhermes-tinyllama-sft-qlora,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T
NicholasJohn/OpenBioLLM-Llama3-8B-Q5_K_M.gguf,meta-llama/Meta-Llama-3-8B
sosoai/hansoldeco-beomi-llama-3-open-ko-merged-v0.1,- sosoai/hansoldeco-beomi-llama3-8b-ko-v0.1
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-doc-split,codellama/CodeLlama-7b-hf
BohdanPetryshyn/codellama-7b-openapi-completion-quick-fix,codellama/CodeLlama-7b-hf
AIAT/Machima-openthai-llama-pretrained-7b-table-trained,- openthaigpt/openthaigpt-1.0.0-7b-chat
CISCai/OpenCodeInterpreter-DS-6.7B-SOTA-GGUF,m-a-p/OpenCodeInterpreter-DS-6.7B
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-no-spm,codellama/CodeLlama-7b-hf
KTH/llama3-open-hermes-disco-kth,- birgermoell/llama-3-merge-disco-neural-pace
DTrjeu/openhermes-mistral-dpo-gptq,TheBloke/OpenHermes-2-Mistral-7B-GPTQ
mradermacher/OpenDolphinMaid-4x7b-GGUF,Undi95/OpenDolphinMaid-4x7b
mradermacher/OpenDolphinMaid-4x7b-i1-GGUF,Undi95/OpenDolphinMaid-4x7b
mradermacher/Open_Gpt4_8x7B_v0.2-GGUF,rombodawg/Open_Gpt4_8x7B_v0.2
mradermacher/OpenBioM7-7B-TIES-GGUF,hfghfghg/OpenBioM7-7B-TIES
mradermacher/OpenBeagle-11B-GGUF,vicgalle/OpenBeagle-11B
mradermacher/openchat-marunashop-v3-1.0-GGUF,kimmypracha/openchat-marunashop-v3-1.0
mradermacher/Yi-6B_Open-Orca-GGUF,hongzoh/Yi-6B_Open-Orca
mradermacher/gorilla-openfunctions-v2-GGUF,gorilla-llm/gorilla-openfunctions-v2
mradermacher/Yarn-Mistral-7b-SFT-Capybara-Openhermes-128k-QLoRA-GGUF,sygenai/Yarn-Mistral-7b-SFT-Capybara-Openhermes-128k-QLoRA
mradermacher/OpenDolphin-7B-slerp-GGUF,WesPro/OpenDolphin-7B-slerp
mradermacher/OpenZephyrChat-v0.2-GGUF,Fredithefish/OpenZephyrChat-v0.2
mradermacher/OpenPipe-7B-slerp-GGUF,oschan77/OpenPipe-7B-slerp
mradermacher/OpenCerebrum-2.0-7B-GGUF,Locutusque/OpenCerebrum-2.0-7B
mradermacher/OpenCarrot-Mix-7B-GGUF,CarrotAI/OpenCarrot-Mix-7B
mradermacher/OpenHermes-2.5-Mistral-7B_toxic-removed-dpo-v0.2-GGUF,anik424/OpenHermes-2.5-Mistral-7B_toxic-removed-dpo-v0.2
mradermacher/OpenHermes-2.5-Mistral-7B-toxic-GGUF,irthpe/OpenHermes-2.5-Mistral-7B-toxic
mradermacher/Llama3-8B-OpenHermes-DPO-GGUF,Muhammad2003/Llama3-8B-OpenHermes-DPO
QuantFactory/Llama-3-Open-Ko-8B-GGUF,beomi/Llama-3-Open-Ko-8B
Jebadiah/OpenBio-gem-p1,- Jebadiah/gradient-1m-OpenBio-stone-l3-8b
fontadie/whisper-tiny-openslrdev,openai/whisper-tiny.en
Wsassi/openai-whisper-small-LORA-colab,openai/whisper-small
mradermacher/Open-StarLake-Swap-7B-GGUF,Aryanne/Open-StarLake-Swap-7B
mradermacher/Llama-3-Open-Ko-Linear-8B-GGUF,asiansoul/Llama-3-Open-Ko-Linear-8B
mradermacher/Llama-3-OpenBioLLM-JSL-8B-SLERP-GGUF,arcee-ai/Llama-3-OpenBioLLM-JSL-8B-SLERP
mradermacher/Mistral-dolphin-mix-cine-open-Ne-GGUF,jdqwoi/Mistral-dolphin-mix-cine-open-Ne
mradermacher/Mistral-dolphin-mix-cine-open-Ne-NSFW-GGUF,jdqwoi/Mistral-dolphin-mix-cine-open-Ne-NSFW
mradermacher/OpenHermes-2.5-Mistral-7B-Orca-DPO-GGUF,MohammadOthman/OpenHermes-2.5-Mistral-7B-Orca-DPO
mradermacher/Llama-3-OpenBioMed-8B-dare-ties-v1.0-GGUF,abhinand/Llama-3-OpenBioMed-8B-dare-ties-v1.0
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim,codellama/CodeLlama-7b-hf
jski/sft_openassistant-guanaco,facebook/opt-350m
alamios/openchat-3.5-1210,mistralai/Mistral-7B-v0.1
Jebadiah/gradient-1m-OpenBio-stone-l3-8b,- gradientai/Llama-3-8B-Instruct-Gradient-1048k
MoMonir/Llama3-OpenBioLLM-8B-GGUF,meta-llama/Meta-Llama-3-8B
blockblockblock/Llama3-OpenBioLLM-70B-bpw4-exl2,meta-llama/Meta-Llama-3-70B-Instruct
moetezsa/OpenHermes_on_charttotext,teknium/OpenHermes-2.5-Mistral-7B
abhinand/Llama-3-OpenBioMed-8B-slerp-v0.3,- Jayant9928/orpo_med_v3
athirdpath/Llama-3-15b-OpenBioLexi-GLUED,athirdpath/Llama-3-15b-OpenBioLexi
abhinand/Llama-3-OpenBioMed-8B-dare-ties-4x,- aaditya/Llama3-OpenBioLLM-8B
abhinand/Llama-3-OpenBioMed-8B-slerp-v0.2,- aaditya/Llama3-OpenBioLLM-8B
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-prmt,codellama/CodeLlama-7b-hf
abhinand/Llama-3-OpenBioMed-8B-dare-ties-v1.0,- aaditya/Llama3-OpenBioLLM-8B
moetezsa/OpenHermes_finetued_on_scigen_v2,teknium/OpenHermes-2.5-Mistral-7B
pseudopsych/openingdrawer,CompVis/stable-diffusion-v1-4
LiteLLMs/Llama3-OpenBioLLM-8B-GGUF,meta-llama/Meta-Llama-3-8B
saksornr/openthaigpt-1.0.0-7b-chat-text2sql,openthaigpt/openthaigpt-1.0.0-7b-chat
moetezsa/OpenHermes_finetued_on_scigen,teknium/OpenHermes-2.5-Mistral-7B
a-normal-username/Mixtral-8x22B-OpenHermes-2.5,mistralai/Mixtral-8x22B-v0.1
sovitrath/phi-openllm-lb-test,microsoft/phi-1_5
timberrific/open-bio-med-8B-task-arithmetic,- aaditya/OpenBioLLM-Llama3-8B
timberrific/open-bio-med-8B-ties-merge,- aaditya/OpenBioLLM-Llama3-8B
timberrific/open-bio-med-merge,- johnsnowlabs/JSL-MedLlama-3-8B-v1.0
LoneStriker/OpenBioLLM-Llama3-70B-6.0bpw-h6-exl2,meta-llama/Meta-Llama-3-70B-Instruct
LoneStriker/OpenBioLLM-Llama3-70B-5.0bpw-h6-exl2,meta-llama/Meta-Llama-3-70B-Instruct
LoneStriker/OpenBioLLM-Llama3-70B-4.65bpw-h6-exl2,meta-llama/Meta-Llama-3-70B-Instruct
LoneStriker/OpenBioLLM-Llama3-70B-4.0bpw-h6-exl2,meta-llama/Meta-Llama-3-70B-Instruct
LoneStriker/OpenBioLLM-Llama3-70B-3.5bpw-h6-exl2,meta-llama/Meta-Llama-3-70B-Instruct
LoneStriker/OpenBioLLM-Llama3-70B-2.4bpw-h6-exl2,meta-llama/Meta-Llama-3-70B-Instruct
LoneStriker/OpenBioLLM-Llama3-70B-GGUF,meta-llama/Meta-Llama-3-70B-Instruct
sosoai/hansoldeco-beomi-llama3-open-ko-8b-64k-test-Q6_K-GGUF,beomi/Llama-3-Open-Ko-8B
LoneStriker/OpenBioLLM-Llama3-8B-8.0bpw-h8-exl2,meta-llama/Meta-Llama-3-8B
