child_model,base_model
Messbah-A/bert-fa-base-uncased-openvino,HooshvareLab/bert-fa-base-uncased
manpk-ai/OpenCUA-7B-Copy,- Qwen/Qwen2.5-VL-7B-Instruct
crislmfroes/svla-panda-open-articulated-objects-v4.0-remove-handle-obs,lerobot/smolvla_base
ChenWu98/openthoughts3_math_teachers_17000_qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct
ChenWu98/openthoughts3_math_teachers_source_split_17000_1_qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct
ChenWu98/openthoughts3_math_teachers_source_condition_17000_qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct
ChenWu98/openthoughts3_math_teachers_source_split_17000_0_qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct
twelvehertz/open-o3-sft-13,unsloth/Qwen2.5-14B-Instruct
twelvehertz/open-o3-sft-12,unsloth/Qwen2.5-14B-Instruct
twelvehertz/open-o3-sft-11,unsloth/Qwen2.5-14B-Instruct
twelvehertz/open-o3-sft-10,unsloth/Qwen2.5-14B-Instruct
crislmfroes/svla-panda-open-articulated-objects-v3.0-remove-handle-obs,lerobot/smolvla_base
ChenWu98/openthoughts3_math_teachers_source_split_16384_0_qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct
millexplore/Qwen3-4B-Instruct-2507-openvino,Qwen/Qwen3-4B-Instruct-2507
twelvehertz/open-o3-sft-9,unsloth/Qwen2.5-14B-Instruct
manpk-ai/OpenCUA-7B,- Qwen/Qwen2.5-VL-7B-Instruct
ChenWu98/openthoughts3_math_teachers_source_split_32768_0_qwen3_4b_instruct_2507,Qwen/Qwen3-4B-Instruct-2507
openbmb/VoxCPM-0.5B,- openbmb/MiniCPM4-0.5B
twelvehertz/open-o3-sft-8,unsloth/Qwen2.5-14B-Instruct
twelvehertz/open-o3-sft-7,unsloth/Qwen2.5-14B-Instruct
twelvehertz/open-o3-sft-6,unsloth/Qwen2.5-14B-Instruct
twelvehertz/open-o3-sft-5,unsloth/Qwen2.5-14B-Instruct
twelvehertz/open-o3-sft-4,unsloth/Qwen2.5-14B-Instruct
tttonyalpha/openvla-7b-warmup-checkpoint_lora_002000,openvla/openvla-7b
tttonyalpha/openvla-7b-warmup-checkpoint,openvla/openvla-7b
crislmfroes/svla-panda-open-articulated-objects-v2.0-remove-handle-obs,lerobot/smolvla_base
OpenBuddy/OpenBuddy-Qwen3-Coder-30B-A3B-Base-V2,Qwen/Qwen3-Coder-30B-A3B-Instruct
nareshmlx/code-reviewer-opencv-checkpoints,unsloth/qwen2.5-coder-1.5b-instruct-bnb-4bit
nareshmlx/code-reviewer-opencv,unsloth/qwen2.5-coder-1.5b-instruct-bnb-4bit
OpenGVLab/ScaleCUA-7B,- Qwen/Qwen2.5-VL-7B-Instruct
OpenGVLab/ScaleCUA-32B,- Qwen/Qwen2.5-VL-32B-Instruct
